,Address,Size,Rooms,Floor,Total floors,Price (eur),Price per m2 (eur/m2),Type,Date,Advertiser
274,Beograd Opština Palilula Centar Porecka ,80,3.0,,,184000,2300,Top,03.02.2021.,Agencija
275,Beograd Opština Novi Beograd Ledine Danice Kojić 23 ,42,1.5,I,3,42000,1000,Top,10.02.2021.,Investitor
276,Beograd Opština Zemun Altina Ugrinovački put 22.deo br. 29  ,140,3.0,IV,4,150000,1071,Top,10.02.2021.,Vlasnik
277,Beograd Opština Zvezdara Mirijevo Mirijevski venac ,48,1.5,II,11,58000,1208,Top,10.02.2021.,Agencija
278,Beograd Opština Palilula Karaburma Pera Ćetkovića ,40,1.5,II,4,55500,1388,Top,31.01.2021.,Agencija
279,Beograd Opština Novi Beograd Dr Ivana Ribara ,35,2.0,,,68500,1957,Top,08.02.2021.,Agencija
280,Beograd Opština Vračar Crveni krst Maksima Gorkog ,91,3.0,I,2,155000,1703,Top,10.02.2021.,Agencija
281,Beograd Opština Vračar Kalenić pijaca Maksima Gorkog ,72,3.0,III,4,135000,1875,Top,10.02.2021.,Agencija
282,Beograd Opština Zvezdara Lion Đevđelijska ,100,4.5,PR,5,170000,1700,Top,10.02.2021.,Agencija
283,Beograd Opština Zemun Centar Cara Dušana ,77,3.0,I,4,128000,1662,Top,10.02.2021.,Agencija
284,Beograd Opština Stari grad Studentski trg Gospodar Jevremova ,155,5,II,5,440000,2839,Top,10.02.2021.,Vlasnik
285,Beograd Opština Vračar Hram svetog Save Stojana Protića ,76,3.0,I,3,155000,2039,Top,10.02.2021.,Agencija
286,Beograd Opština Voždovac Lekino brdo Ibarska ,68,3.0,III,3,150964,2220,Top,10.02.2021.,Agencija
287,Beograd Opština Stari grad Centar ,83,3.0,IV,7,219000,2639,Top,10.02.2021.,Vlasnik
288,Beograd Opština Voždovac Jove Ilića  Jove Ilića  ,57,2.0,VPR,3,108300,1900,Top,10.02.2021.,Agencija
289,Beograd Opština Zvezdara Mirijevo Vladislava Bajčevića ,64,2.0,VI,8,69000,1078,Top,10.02.2021.,Agencija
290,Beograd Opština Stari grad Dorćol Žorža Klemensoa ,70,3.0,III,4,140000,2000,Top,10.02.2021.,Agencija
291,Beograd Opština Novi Beograd Blok 70a Dr. Agostina Neta ,66,2.0,IV,8,115000,1742,Top,10.02.2021.,Agencija
292,Beograd Opština Stari grad Gundulićev venac Carigradska ,60,2.0,II,5,160000,2667,Top,10.02.2021.,Agencija
293,Beograd Opština Stari grad Obilićev venac Carice Milice ,100,4.0,VPR,3,359000,3590,Top,10.02.2021.,Agencija
294,Beograd Opština Vračar Čubura Cerska ,92,4.0,PR,4,238621,2594,Top,10.02.2021.,Agencija
295,Beograd Opština Vračar Čubura Cerska ,95,4.0,I,4,245859,2588,Top,10.02.2021.,Agencija
296,Beograd Opština Zvezdara Cvetkova pijaca Vjekoslava Kovača ,59,2.0,III,10,105000,1780,Top,10.02.2021.,Agencija
297,Beograd Opština Novi Beograd Blok 65 Omladinskih brigada ,32,1.0,V,6,107000,3344,Top,10.02.2021.,Agencija
298,Beograd Opština Stari grad Dorćol Kapetan Mišina ,58,2.5,,,150000,2586,Top,10.02.2021.,Agencija
299,Beograd Opština Voždovac Braće Jerković Btaće Jerković ,61,2.0,III,5,89000,1459,Top,10.02.2021.,Agencija
300,Beograd Opština Zvezdara Lion Dojranska ,60,2.0,II,4,102500,1708,Top,10.02.2021.,Agencija
301,Beograd Opština Zvezdara Mirijevo  KAPETANA MILOSA ZUNJICA ,33,1.5,PR,3,49500,1500,Top,10.02.2021.,Agencija
302,Beograd Opština Palilula Bogoslovija Pere Ćetkovića ,56,2.0,IV,4,55000,982,Top,10.02.2021.,Agencija
303,Beograd Opština Vračar Crveni krst Vojislava Ilića ,50,1.0,I,5,96000,1920,Top,10.02.2021.,Agencija
304,Beograd Opština Zvezdara Konjarnik ,58,2.0,PR,4,77889,1343,Top,10.02.2021.,Agencija
305,Beograd Opština Zvezdara Konjarnik Vladimira Gortana ,55,2.5,I,5,95000,1727,Top,10.02.2021.,Agencija
306,Beograd Opština Palilula Karaburma Stevana Dukića ,45,1.5,IV,5,59900,1331,Top,10.02.2021.,Agencija
307,Beograd Opština Palilula Borča Zrenjaninski put ,42,1.5,PR,2,38000,905,Top,10.02.2021.,Agencija
308,Beograd Opština Vračar Kalenić pijaca Kursulina ,37,1.0,II,3,98900,2673,Top,10.02.2021.,Agencija
309,Beograd Opština Vračar Hram svetog Save Patrijarha Varnave ,42,1.5,I,4,140000,3333,Top,10.02.2021.,Agencija
310,Beograd Opština Novi Beograd Blok 67 (Belvil) Jurija Gagarina ,120,3.0,X,10,280000,2333,Top,10.02.2021.,Agencija
311,Beograd Opština Palilula Karaburma Pere Ćetkovića ,45,1.5,IV,5,56000,1244,Top,10.02.2021.,Agencija
312,Beograd Opština Zvezdara Đeram pijaca Marka Oreškovića ,37,2.0,I,1,78900,2132,Top,10.02.2021.,Agencija
313,Beograd Opština Vračar Kalenić pijaca Sinđelićeva ,28,1.0,II,4,73000,2607,Top,10.02.2021.,Agencija
314,Beograd Opština Vračar Kalenić pijaca Sinđelićeva ,28,1.0,II,4,73000,2607,Top,10.02.2021.,Agencija
315,Beograd Opština Vračar Krunska Golslfordijeva ,80,3.0,IV,5,210000,2625,Top,10.02.2021.,Agencija
316,Beograd Opština Zemun Centar Petra Kočića ,81,3.5,VPR,7,160000,1975,Top,10.02.2021.,Agencija
317,Beograd Opština Zemun Centar Petra Kočića ,46,2.0,VPR,7,91000,1978,Top,10.02.2021.,Agencija
